class,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
hello,0.554,0.287,-0.671,0.698,0.429,-0.355,0.475,0.433,-0.394,0.741,0.681,-0.235,0.453,0.708,-0.347,0.744,0.909,-0.377,0.452,0.925,-0.522,0.767,0.967,-0.431,0.433,0.984,-0.575,0.741,0.972,-0.479,0.461,0.991,-0.638,0.729,0.954,-0.399
hello,0.556,0.287,-0.554,0.698,0.429,-0.249,0.475,0.434,-0.359,0.741,0.676,-0.1,0.453,0.705,-0.326,0.745,0.902,-0.199,0.451,0.92,-0.462,0.765,0.962,-0.24,0.434,0.978,-0.508,0.741,0.969,-0.289,0.46,0.983,-0.57,0.73,0.95,-0.221
hello,0.557,0.286,-0.495,0.699,0.429,-0.216,0.475,0.435,-0.315,0.74,0.675,-0.076,0.453,0.704,-0.285,0.744,0.902,-0.161,0.451,0.916,-0.408,0.763,0.962,-0.198,0.434,0.974,-0.452,0.74,0.969,-0.244,0.46,0.979,-0.509,0.729,0.95,-0.181
hello,0.558,0.284,-0.561,0.699,0.429,-0.228,0.475,0.436,-0.335,0.74,0.675,-0.074,0.453,0.703,-0.289,0.744,0.902,-0.215,0.451,0.915,-0.438,0.763,0.962,-0.262,0.434,0.974,-0.488,0.739,0.97,-0.315,0.46,0.978,-0.55,0.729,0.95,-0.239
hello,0.559,0.283,-0.576,0.699,0.429,-0.216,0.475,0.436,-0.34,0.74,0.674,-0.058,0.453,0.702,-0.292,0.744,0.9,-0.211,0.45,0.915,-0.451,0.763,0.96,-0.261,0.434,0.974,-0.504,0.739,0.968,-0.317,0.458,0.978,-0.567,0.729,0.948,-0.238
hello,0.559,0.282,-0.584,0.699,0.429,-0.228,0.475,0.437,-0.343,0.74,0.674,-0.073,0.453,0.702,-0.295,0.744,0.9,-0.223,0.449,0.915,-0.457,0.763,0.96,-0.272,0.434,0.974,-0.511,0.739,0.968,-0.328,0.458,0.979,-0.574,0.729,0.948,-0.248
hello,0.559,0.281,-0.571,0.699,0.429,-0.233,0.474,0.438,-0.32,0.74,0.674,-0.089,0.453,0.702,-0.271,0.744,0.901,-0.238,0.449,0.915,-0.442,0.763,0.961,-0.287,0.434,0.974,-0.497,0.739,0.969,-0.341,0.458,0.979,-0.56,0.728,0.949,-0.262
hello,0.559,0.28,-0.564,0.699,0.429,-0.232,0.474,0.438,-0.304,0.74,0.674,-0.084,0.453,0.702,-0.256,0.744,0.901,-0.223,0.449,0.915,-0.434,0.763,0.963,-0.268,0.434,0.975,-0.487,0.739,0.971,-0.322,0.457,0.979,-0.55,0.729,0.95,-0.247
hello,0.559,0.28,-0.581,0.699,0.429,-0.233,0.474,0.439,-0.315,0.74,0.675,-0.095,0.453,0.702,-0.265,0.745,0.902,-0.232,0.449,0.915,-0.442,0.763,0.965,-0.279,0.434,0.975,-0.495,0.739,0.973,-0.329,0.458,0.98,-0.557,0.729,0.952,-0.255
hello,0.56,0.28,-0.49,0.699,0.428,-0.158,0.474,0.439,-0.265,0.743,0.673,-0.022,0.453,0.699,-0.219,0.744,0.889,-0.178,0.454,0.897,-0.383,0.761,0.955,-0.233,0.444,0.962,-0.438,0.732,0.958,-0.284,0.467,0.96,-0.498,0.722,0.938,-0.2
hello,0.56,0.28,-0.471,0.699,0.427,-0.168,0.474,0.438,-0.259,0.744,0.669,-0.039,0.45,0.688,-0.219,0.743,0.877,-0.18,0.464,0.867,-0.374,0.756,0.945,-0.235,0.458,0.941,-0.427,0.723,0.945,-0.283,0.481,0.932,-0.481,0.715,0.926,-0.201
hello,0.56,0.28,-0.359,0.699,0.426,-0.079,0.474,0.437,-0.177,0.746,0.663,0.005,0.449,0.675,-0.217,0.741,0.864,-0.179,0.478,0.84,-0.459,0.743,0.938,-0.24,0.471,0.914,-0.529,0.711,0.931,-0.288,0.497,0.901,-0.568,0.704,0.913,-0.2
hello,0.56,0.28,-0.371,0.699,0.425,-0.055,0.474,0.436,-0.186,0.747,0.661,0.011,0.443,0.665,-0.286,0.734,0.855,-0.183,0.495,0.795,-0.625,0.727,0.932,-0.277,0.502,0.863,-0.703,0.697,0.92,-0.317,0.527,0.842,-0.739,0.692,0.901,-0.202
hello,0.559,0.281,-0.379,0.698,0.424,-0.069,0.475,0.435,-0.197,0.747,0.659,-0.008,0.44,0.658,-0.341,0.721,0.842,-0.212,0.506,0.756,-0.682,0.713,0.919,-0.301,0.521,0.8,-0.761,0.684,0.904,-0.337,0.544,0.773,-0.789,0.678,0.884,-0.228
hello,0.56,0.288,-0.295,0.696,0.417,-0.037,0.475,0.432,-0.123,0.746,0.613,-0.022,0.441,0.64,-0.402,0.688,0.755,-0.21,0.584,0.552,-0.737,0.682,0.817,-0.276,0.63,0.532,-0.811,0.653,0.802,-0.29,0.634,0.512,-0.782,0.649,0.786,-0.217
hello,0.56,0.292,-0.259,0.693,0.416,-0.018,0.475,0.43,-0.09,0.743,0.597,-0.033,0.441,0.631,-0.391,0.673,0.727,-0.211,0.6,0.508,-0.703,0.664,0.783,-0.268,0.644,0.482,-0.773,0.639,0.767,-0.276,0.645,0.466,-0.739,0.636,0.749,-0.216
hello,0.559,0.292,-0.234,0.69,0.415,-0.013,0.475,0.429,-0.081,0.734,0.587,-0.036,0.444,0.624,-0.377,0.665,0.71,-0.189,0.607,0.487,-0.668,0.655,0.762,-0.235,0.645,0.453,-0.734,0.632,0.743,-0.245,0.645,0.44,-0.708,0.63,0.727,-0.19
hello,0.557,0.293,-0.216,0.685,0.414,-0.006,0.477,0.423,-0.077,0.712,0.551,-0.112,0.46,0.6,-0.409,0.646,0.659,-0.281,0.634,0.467,-0.686,0.631,0.703,-0.337,0.673,0.446,-0.754,0.612,0.684,-0.338,0.675,0.433,-0.717,0.612,0.671,-0.281
hello,0.557,0.294,-0.217,0.681,0.409,-0.021,0.479,0.421,-0.077,0.707,0.536,-0.149,0.462,0.598,-0.404,0.639,0.643,-0.322,0.633,0.489,-0.671,0.624,0.687,-0.382,0.675,0.466,-0.738,0.603,0.671,-0.384,0.678,0.451,-0.707,0.603,0.66,-0.322
hello,0.557,0.294,-0.235,0.68,0.405,-0.036,0.479,0.421,-0.084,0.707,0.538,-0.183,0.466,0.604,-0.406,0.627,0.63,-0.362,0.637,0.512,-0.671,0.615,0.674,-0.424,0.684,0.494,-0.739,0.592,0.661,-0.421,0.686,0.473,-0.705,0.59,0.649,-0.361
hello,0.556,0.294,-0.238,0.68,0.403,-0.039,0.479,0.422,-0.081,0.708,0.547,-0.183,0.466,0.611,-0.394,0.624,0.626,-0.37,0.638,0.532,-0.657,0.613,0.669,-0.431,0.688,0.514,-0.724,0.587,0.655,-0.425,0.69,0.489,-0.692,0.585,0.644,-0.368
hello,0.555,0.294,-0.253,0.681,0.403,-0.048,0.479,0.426,-0.096,0.71,0.556,-0.218,0.465,0.616,-0.39,0.627,0.608,-0.447,0.626,0.554,-0.622,0.613,0.655,-0.52,0.672,0.521,-0.687,0.582,0.64,-0.508,0.672,0.492,-0.66,0.584,0.627,-0.445
hello,0.555,0.294,-0.252,0.681,0.403,-0.05,0.478,0.428,-0.101,0.712,0.561,-0.217,0.464,0.617,-0.369,0.627,0.605,-0.452,0.621,0.562,-0.579,0.609,0.652,-0.526,0.66,0.621,-0.643,0.577,0.637,-0.516,0.663,0.573,-0.623,0.579,0.625,-0.45
hello,0.555,0.294,-0.247,0.681,0.404,-0.05,0.476,0.429,-0.104,0.718,0.561,-0.198,0.464,0.619,-0.339,0.63,0.603,-0.445,0.615,0.579,-0.535,0.61,0.648,-0.522,0.653,0.662,-0.598,0.579,0.634,-0.514,0.656,0.603,-0.583,0.582,0.622,-0.445
hello,0.555,0.294,-0.244,0.681,0.403,-0.051,0.476,0.429,-0.106,0.726,0.563,-0.188,0.464,0.619,-0.314,0.634,0.601,-0.432,0.613,0.597,-0.492,0.614,0.648,-0.508,0.652,0.679,-0.551,0.583,0.634,-0.501,0.654,0.624,-0.542,0.585,0.621,-0.432
hello,0.555,0.294,-0.242,0.681,0.403,-0.044,0.476,0.429,-0.102,0.732,0.568,-0.166,0.462,0.625,-0.307,0.636,0.613,-0.408,0.598,0.638,-0.521,0.619,0.664,-0.481,0.633,0.683,-0.584,0.588,0.649,-0.48,0.643,0.653,-0.571,0.59,0.634,-0.41
hello,0.555,0.294,-0.247,0.682,0.403,-0.046,0.476,0.428,-0.104,0.737,0.57,-0.165,0.459,0.626,-0.315,0.636,0.618,-0.432,0.58,0.65,-0.537,0.619,0.669,-0.512,0.617,0.689,-0.596,0.591,0.656,-0.513,0.632,0.661,-0.582,0.593,0.641,-0.436
hello,0.555,0.294,-0.249,0.682,0.403,-0.046,0.476,0.428,-0.104,0.74,0.572,-0.164,0.456,0.628,-0.311,0.638,0.622,-0.435,0.571,0.657,-0.547,0.621,0.672,-0.514,0.609,0.693,-0.609,0.592,0.659,-0.514,0.626,0.667,-0.595,0.594,0.645,-0.439
hello,0.555,0.294,-0.275,0.683,0.403,-0.054,0.476,0.427,-0.115,0.745,0.573,-0.154,0.453,0.631,-0.304,0.641,0.626,-0.422,0.565,0.664,-0.542,0.625,0.676,-0.498,0.607,0.701,-0.604,0.599,0.662,-0.498,0.623,0.673,-0.592,0.599,0.648,-0.425
hello,0.555,0.294,-0.298,0.686,0.403,-0.023,0.476,0.427,-0.131,0.752,0.574,-0.055,0.445,0.631,-0.31,0.671,0.637,-0.351,0.535,0.673,-0.612,0.652,0.686,-0.429,0.564,0.704,-0.684,0.628,0.67,-0.434,0.583,0.678,-0.684,0.627,0.656,-0.357
hello,0.555,0.294,-0.294,0.689,0.404,-0.01,0.476,0.427,-0.13,0.761,0.574,-0.026,0.439,0.627,-0.313,0.684,0.637,-0.276,0.52,0.68,-0.617,0.663,0.687,-0.345,0.548,0.711,-0.686,0.638,0.671,-0.345,0.565,0.687,-0.685,0.638,0.656,-0.278
hello,0.555,0.294,-0.29,0.69,0.404,-0.014,0.477,0.427,-0.13,0.769,0.574,-0.049,0.436,0.625,-0.303,0.692,0.63,-0.314,0.506,0.678,-0.615,0.672,0.67,-0.386,0.534,0.71,-0.685,0.647,0.655,-0.385,0.549,0.685,-0.685,0.646,0.643,-0.316
hello,0.555,0.294,-0.306,0.691,0.403,-0.011,0.477,0.427,-0.129,0.773,0.571,-0.036,0.432,0.618,-0.304,0.7,0.618,-0.317,0.494,0.676,-0.679,0.683,0.656,-0.391,0.518,0.707,-0.758,0.657,0.641,-0.393,0.534,0.682,-0.764,0.655,0.629,-0.32
hello,0.555,0.294,-0.26,0.691,0.403,-0.016,0.477,0.427,-0.06,0.793,0.56,-0.203,0.409,0.617,-0.308,0.733,0.534,-0.58,0.454,0.6,-0.746,0.727,0.55,-0.666,0.472,0.627,-0.827,0.696,0.543,-0.654,0.496,0.601,-0.816,0.692,0.54,-0.582
hello,0.555,0.294,-0.245,0.691,0.404,-0.015,0.478,0.425,-0.032,0.807,0.561,-0.205,0.402,0.615,-0.284,0.743,0.504,-0.567,0.438,0.562,-0.7,0.737,0.512,-0.645,0.449,0.579,-0.775,0.709,0.502,-0.628,0.48,0.553,-0.765,0.704,0.502,-0.566
hello,0.554,0.294,-0.246,0.691,0.408,-0.02,0.478,0.425,-0.044,0.809,0.55,-0.274,0.394,0.6,-0.315,0.75,0.49,-0.654,0.421,0.54,-0.749,0.748,0.49,-0.735,0.429,0.541,-0.825,0.72,0.476,-0.713,0.462,0.516,-0.815,0.714,0.48,-0.653
hello,0.554,0.293,-0.251,0.691,0.408,-0.016,0.481,0.417,-0.03,0.809,0.552,-0.275,0.388,0.592,-0.339,0.768,0.4,-0.61,0.426,0.438,-0.778,0.763,0.362,-0.677,0.432,0.393,-0.859,0.743,0.351,-0.64,0.45,0.379,-0.82,0.737,0.364,-0.603
hello,0.554,0.292,-0.243,0.691,0.408,-0.002,0.483,0.409,-0.01,0.811,0.554,-0.237,0.387,0.585,-0.334,0.771,0.383,-0.559,0.426,0.414,-0.74,0.766,0.342,-0.639,0.432,0.371,-0.818,0.747,0.331,-0.554,0.447,0.357,-0.785,0.741,0.345,-0.58
